"","nhid","2","3"
"1","2",2.67201935277129,1.59297661044656
"2","3",3.43871172895074,1.90842738049682
"3","4",3.74401886100893,2.60139260155205
"4","5",4.14347796926019,0.0691248244412281
"5","6",4.51814378942935,NA
"6","7",4.70477959946437,NA
"7","8",5.05296719632943,NA
"8","9",5.71363708478822,NA
"9","10",5.21212186241833,NA
"10","11",5.41869126422146,NA
"11","12",6.14050713679494,4.89429003784544
"12","13",6.24721484902649,NA
"13","14",6.11488862889761,4.34085115982864
"14","15",6.25938383909932,NA
"15","16",6.32424053252297,NA
"16","17",6.12381607095877,NA
"17","18",6.43257238454012,NA
"18","19",6.31005881617938,NA
"19","20",6.57551716085392,NA
"20","21",6.31928706672658,5.34506791434977
"21","22",6.1258436281649,NA
"22","23",6.39526266210542,NA
"23","24",6.04394433906942,NA
"24","25",6.4668279067254,NA
"25","26",6.4252511754109,NA
"26","27",6.36163625652326,NA
"27","28",6.1712907464419,NA
"28","29",6.04859241041476,NA
"29","30",6.17303575144657,NA
"30","31",6.21768864327042,NA
"31","32",6.16299774405414,NA
"32","33",6.21353884464521,NA
"33","34",6.01061418977608,NA
"34","35",5.85883257970255,NA
"35","36",5.82511948659835,4.65060324516101
"36","37",6.02470127411402,NA
"37","38",5.92270860910411,NA
